Data da série;Vr;Vr_
29/03/2012;1,826;18260
28/03/2012;1,828;18280
27/03/2012;1,813;18130
26/03/2012;1,815;18150
23/03/2012;1,81;18100
22/03/2012;1,824;18240
21/03/2012;1,819;18190
20/03/2012;1,821;18210
19/03/2012;1,804;18040
16/03/2012;1,802;18020
15/03/2012;1,804;18040
14/03/2012;1,809;18090
13/03/2012;1,8;18000
12/03/2012;1,805;18050
09/03/2012;1,784;17840
08/03/2012;1,77;17700
07/03/2012;1,767;17670
06/03/2012;1,76;17600
05/03/2012;1,736;17360
02/03/2012;1,733;17330
01/03/2012;1,712;17120
29/02/2012;1,716;17160
28/02/2012;1,702;17020
27/02/2012;1,708;17080
24/02/2012;1,706;17060
23/02/2012;1,711;17110
22/02/2012;1,706;17060
17/02/2012;1,713;17130
16/02/2012;1,721;17210
15/02/2012;1,724;17240
14/02/2012;1,72;17200
13/02/2012;1,716;17160
10/02/2012;1,725;17250
09/02/2012;1,718;17180
08/02/2012;1,72;17200
07/02/2012;1,724;17240
06/02/2012;1,727;17270
03/02/2012;1,717;17170
02/02/2012;1,722;17220
01/02/2012;1,733;17330
31/01/2012;1,745;17450
30/01/2012;1,749;17490
27/01/2012;1,742;17420
26/01/2012;1,742;17420
25/01/2012;1,76;17600
24/01/2012;1,755;17550
23/01/2012;1,749;17490
20/01/2012;1,759;17590
19/01/2012;1,767;17670
18/01/2012;1,765;17650
17/01/2012;1,777;17770
16/01/2012;1,785;17850
13/01/2012;1,793;17930
12/01/2012;1,785;17850
11/01/2012;1,801;18010
10/01/2012;1,803;18030
09/01/2012;1,838;18380
06/01/2012;1,854;18540
05/01/2012;1,838;18380
04/01/2012;1,829;18290
03/01/2012;1,83;18300
02/01/2012;1,87;18700
29/12/2011;1,869;18690
28/12/2011;1,874;18740
27/12/2011;1,861;18610
26/12/2011;1,859;18590
23/12/2011;1,859;18590
22/12/2011;1,852;18520
21/12/2011;1,856;18560
20/12/2011;1,843;18430
19/12/2011;1,868;18680
16/12/2011;1,856;18560
15/12/2011;1,861;18610
14/12/2011;1,874;18740
13/12/2011;1,854;18540
12/12/2011;1,844;18440
09/12/2011;1,806;18060
08/12/2011;1,816;18160
07/12/2011;1,791;17910
06/12/2011;1,795;17950
05/12/2011;1,788;17880
02/12/2011;1,792;17920
01/12/2011;1,802;18020
30/11/2011;1,809;18090
29/11/2011;1,846;18460
28/11/2011;1,856;18560
25/11/2011;1,885;18850
24/11/2011;1,888;18880
23/11/2011;1,863;18630
22/11/2011;1,806;18060
21/11/2011;1,806;18060
18/11/2011;1,783;17830
17/11/2011;1,78;17800
16/11/2011;1,772;17720
14/11/2011;1,765;17650
11/11/2011;1,744;17440
10/11/2011;1,761;17610
09/11/2011;1,765;17650
08/11/2011;1,742;17420
07/11/2011;1,751;17510
04/11/2011;1,739;17390
03/11/2011;1,741;17410
01/11/2011;1,73;17300
31/10/2011;1,694;16940
28/10/2011;1,68;16800
27/10/2011;1,704;17040
26/10/2011;1,761;17610
25/10/2011;1,764;17640
24/10/2011;1,753;17530
21/10/2011;1,78;17800
20/10/2011;1,793;17930
19/10/2011;1,774;17740
18/10/2011;1,761;17610
17/10/2011;1,764;17640
14/10/2011;1,732;17320
13/10/2011;1,751;17510
11/10/2011;1,758;17580
10/10/2011;1,77;17700
07/10/2011;1,766;17660
06/10/2011;1,787;17870
05/10/2011;1,836;18360
04/10/2011;1,889;18890
03/10/2011;1,89;18900
30/09/2011;1,88;18800
29/09/2011;1,852;18520
28/09/2011;1,827;18270
27/09/2011;1,809;18090
26/09/2011;1,833;18330
23/09/2011;1,842;18420
22/09/2011;1,907;19070
21/09/2011;1,844;18440
20/09/2011;1,794;17940
19/09/2011;1,774;17740
16/09/2011;1,73;17300
15/09/2011;1,708;17080
14/09/2011;1,72;17200
13/09/2011;1,713;17130
12/09/2011;1,715;17150
09/09/2011;1,681;16810
08/09/2011;1,657;16570
06/09/2011;1,663;16630
05/09/2011;1,65;16500
02/09/2011;1,636;16360
01/09/2011;1,61;16100
31/08/2011;1,594;15940
30/08/2011;1,588;15880
29/08/2011;1,592;15920
26/08/2011;1,605;16050
25/08/2011;1,61;16100
24/08/2011;1,61;16100
23/08/2011;1,6;16000
22/08/2011;1,603;16030
19/08/2011;1,599;15990
18/08/2011;1,602;16020
17/08/2011;1,583;15830
16/08/2011;1,59;15900
15/08/2011;1,59;15900
12/08/2011;1,613;16130
11/08/2011;1,617;16170
10/08/2011;1,617;16170
09/08/2011;1,609;16090
08/08/2011;1,612;16120
05/08/2011;1,586;15860
04/08/2011;1,582;15820
03/08/2011;1,562;15620
02/08/2011;1,568;15680
01/08/2011;1,562;15620
29/07/2011;1,553;15530
28/07/2011;1,569;15690
27/07/2011;1,559;15590
26/07/2011;1,536;15360
25/07/2011;1,543;15430
22/07/2011;1,555;15550
21/07/2011;1,555;15550
20/07/2011;1,56;15600
19/07/2011;1,567;15670
18/07/2011;1,579;15790
15/07/2011;1,575;15750
14/07/2011;1,578;15780
13/07/2011;1,575;15750
12/07/2011;1,581;15810
11/07/2011;1,581;15810
08/07/2011;1,564;15640
07/07/2011;1,556;15560
06/07/2011;1,569;15690
05/07/2011;1,565;15650
04/07/2011;1,553;15530
01/07/2011;1,557;15570
30/06/2011;1,562;15620
29/06/2011;1,572;15720
28/06/2011;1,578;15780
27/06/2011;1,596;15960
24/06/2011;1,604;16040
22/06/2011;1,589;15890
21/06/2011;1,589;15890
20/06/2011;1,595;15950
17/06/2011;1,597;15970
16/06/2011;1,61;16100
15/06/2011;1,6;16000
14/06/2011;1,582;15820
13/06/2011;1,588;15880
10/06/2011;1,597;15970
09/06/2011;1,589;15890
08/06/2011;1,583;15830
07/06/2011;1,578;15780
06/06/2011;1,583;15830
03/06/2011;1,576;15760
02/06/2011;1,578;15780
01/06/2011;1,596;15960
31/05/2011;1,58;15800
30/05/2011;1,593;15930
27/05/2011;1,601;16010
26/05/2011;1,617;16170
25/05/2011;1,629;16290
24/05/2011;1,624;16240
23/05/2011;1,632;16320
20/05/2011;1,615;16150
19/05/2011;1,617;16170
18/05/2011;1,612;16120
17/05/2011;1,622;16220
16/05/2011;1,632;16320
13/05/2011;1,633;16330
12/05/2011;1,623;16230
11/05/2011;1,62;16200
10/05/2011;1,605;16050
09/05/2011;1,62;16200
06/05/2011;1,617;16170
05/05/2011;1,625;16250
04/05/2011;1,605;16050
03/05/2011;1,589;15890
02/05/2011;1,576;15760
29/04/2011;1,573;15730
28/04/2011;1,583;15830
27/04/2011;1,571;15710
26/04/2011;1,564;15640
25/04/2011;1,573;15730
20/04/2011;1,571;15710
19/04/2011;1,576;15760
18/04/2011;1,59;15900
15/04/2011;1,578;15780
14/04/2011;1,58;15800
13/04/2011;1,591;15910
12/04/2011;1,593;15930
11/04/2011;1,581;15810
08/04/2011;1,574;15740
07/04/2011;1,584;15840
06/04/2011;1,614;16140
05/04/2011;1,609;16090
04/04/2011;1,609;16090
01/04/2011;1,612;16120
31/03/2011;1,631;16310
30/03/2011;1,629;16290
29/03/2011;1,654;16540
28/03/2011;1,662;16620
25/03/2011;1,66;16600
24/03/2011;1,658;16580
23/03/2011;1,661;16610
22/03/2011;1,663;16630
21/03/2011;1,667;16670
18/03/2011;1,67;16700
17/03/2011;1,686;16860
16/03/2011;1,674;16740
15/03/2011;1,667;16670
14/03/2011;1,662;16620
11/03/2011;1,666;16660
10/03/2011;1,661;16610
09/03/2011;1,657;16570
04/03/2011;1,645;16450
03/03/2011;1,652;16520
02/03/2011;1,66;16600
01/03/2011;1,664;16640
28/02/2011;1,663;16630
25/02/2011;1,664;16640
24/02/2011;1,664;16640
23/02/2011;1,675;16750
22/02/2011;1,673;16730
21/02/2011;1,668;16680
18/02/2011;1,664;16640
17/02/2011;1,663;16630
16/02/2011;1,672;16720
15/02/2011;1,67;16700
14/02/2011;1,669;16690
11/02/2011;1,667;16670
10/02/2011;1,671;16710
09/02/2011;1,661;16610
08/02/2011;1,667;16670
07/02/2011;1,68;16800
04/02/2011;1,676;16760
03/02/2011;1,67;16700
02/02/2011;1,668;16680
01/02/2011;1,664;16640
31/01/2011;1,674;16740
28/01/2011;1,685;16850
27/01/2011;1,679;16790
26/01/2011;1,671;16710
25/01/2011;1,671;16710
24/01/2011;1,672;16720
21/01/2011;1,672;16720
20/01/2011;1,673;16730
19/01/2011;1,672;16720
18/01/2011;1,677;16770
17/01/2011;1,683;16830
14/01/2011;1,686;16860
13/01/2011;1,669;16690
12/01/2011;1,676;16760
11/01/2011;1,687;16870
10/01/2011;1,689;16890
07/01/2011;1,684;16840
06/01/2011;1,687;16870
05/01/2011;1,674;16740
04/01/2011;1,664;16640
03/01/2011;1,65;16500
30/12/2010;1,664;16640
29/12/2010;1,679;16790
28/12/2010;1,691;16910
27/12/2010;1,689;16890
23/12/2010;1,694;16940
22/12/2010;1,696;16960
21/12/2010;1,697;16970
20/12/2010;1,707;17070
17/12/2010;1,715;17150
16/12/2010;1,702;17020
15/12/2010;1,699;16990
14/12/2010;1,693;16930
13/12/2010;1,697;16970
10/12/2010;1,713;17130
09/12/2010;1,709;17090
08/12/2010;1,693;16930
07/12/2010;1,681;16810
06/12/2010;1,679;16790
03/12/2010;1,685;16850
02/12/2010;1,702;17020
01/12/2010;1,708;17080
30/11/2010;1,715;17150
29/11/2010;1,723;17230
26/11/2010;1,729;17290
25/11/2010;1,721;17210
24/11/2010;1,723;17230
23/11/2010;1,734;17340
22/11/2010;1,728;17280
19/11/2010;1,718;17180
18/11/2010;1,713;17130
17/11/2010;1,726;17260
16/11/2010;1,74;17400
12/11/2010;1,723;17230
11/11/2010;1,717;17170
10/11/2010;1,709;17090
09/11/2010;1,699;16990
08/11/2010;1,696;16960
05/11/2010;1,679;16790
04/11/2010;1,676;16760
03/11/2010;1,699;16990
01/11/2010;1,707;17070
29/10/2010;1,702;17020
28/10/2010;1,713;17130
27/10/2010;1,72;17200
26/10/2010;1,705;17050
25/10/2010;1,7;17000
22/10/2010;1,706;17060
21/10/2010;1,695;16950
20/10/2010;1,675;16750
19/10/2010;1,686;16860
18/10/2010;1,664;16640
15/10/2010;1,665;16650
14/10/2010;1,662;16620
13/10/2010;1,652;16520
11/10/2010;1,666;16660
08/10/2010;1,668;16680
07/10/2010;1,686;16860
06/10/2010;1,68;16800
05/10/2010;1,67;16700
04/10/2010;1,691;16910
01/10/2010;1,679;16790
30/09/2010;1,692;16920
29/09/2010;1,705;17050
28/09/2010;1,71;17100
27/09/2010;1,709;17090
24/09/2010;1,711;17110
23/09/2010;1,718;17180
22/09/2010;1,722;17220
21/09/2010;1,715;17150
20/09/2010;1,729;17290
17/09/2010;1,718;17180
16/09/2010;1,714;17140
15/09/2010;1,726;17260
14/09/2010;1,707;17070
13/09/2010;1,715;17150
10/09/2010;1,72;17200
09/09/2010;1,723;17230
08/09/2010;1,724;17240
06/09/2010;1,727;17270
03/09/2010;1,733;17330
02/09/2010;1,732;17320
01/09/2010;1,747;17470
31/08/2010;1,756;17560
30/08/2010;1,76;17600
27/08/2010;1,753;17530
26/08/2010;1,762;17620
25/08/2010;1,766;17660
24/08/2010;1,765;17650
23/08/2010;1,768;17680
20/08/2010;1,759;17590
19/08/2010;1,756;17560
18/08/2010;1,753;17530
17/08/2010;1,754;17540
16/08/2010;1,757;17570
13/08/2010;1,772;17720
12/08/2010;1,77;17700
11/08/2010;1,77;17700
10/08/2010;1,759;17590
09/08/2010;1,752;17520
06/08/2010;1,76;17600
05/08/2010;1,754;17540
04/08/2010;1,759;17590
03/08/2010;1,759;17590
02/08/2010;1,751;17510
30/07/2010;1,755;17550
29/07/2010;1,761;17610
28/07/2010;1,77;17700
27/07/2010;1,77;17700
26/07/2010;1,765;17650
23/07/2010;1,759;17590
22/07/2010;1,76;17600
21/07/2010;1,785;17850
20/07/2010;1,774;17740
19/07/2010;1,787;17870
16/07/2010;1,782;17820
15/07/2010;1,772;17720
14/07/2010;1,765;17650
13/07/2010;1,753;17530
12/07/2010;1,765;17650
09/07/2010;1,76;17600
08/07/2010;1,764;17640
07/07/2010;1,766;17660
06/07/2010;1,782;17820
05/07/2010;1,777;17770
02/07/2010;1,776;17760
01/07/2010;1,795;17950
30/06/2010;1,804;18040
29/06/2010;1,81;18100
28/06/2010;1,783;17830
25/06/2010;1,779;17790
24/06/2010;1,789;17890
23/06/2010;1,791;17910
22/06/2010;1,782;17820
21/06/2010;1,774;17740
18/06/2010;1,772;17720
17/06/2010;1,79;17900
16/06/2010;1,79;17900
15/06/2010;1,793;17930
14/06/2010;1,808;18080
11/06/2010;1,816;18160
10/06/2010;1,808;18080
09/06/2010;1,847;18470
08/06/2010;1,859;18590
07/06/2010;1,879;18790
04/06/2010;1,858;18580
02/06/2010;1,826;18260
01/06/2010;1,839;18390
31/05/2010;1,82;18200
28/05/2010;1,809;18090
27/05/2010;1,826;18260
26/05/2010;1,856;18560
25/05/2010;1,868;18680
24/05/2010;1,864;18640
21/05/2010;1,861;18610
20/05/2010;1,862;18620
19/05/2010;1,837;18370
18/05/2010;1,822;18220
17/05/2010;1,81;18100
14/05/2010;1,805;18050
13/05/2010;1,777;17770
12/05/2010;1,775;17750
11/05/2010;1,785;17850
10/05/2010;1,773;17730
07/05/2010;1,849;18490
06/05/2010;1,854;18540
05/05/2010;1,797;17970
04/05/2010;1,761;17610
03/05/2010;1,73;17300
30/04/2010;1,737;17370
29/04/2010;1,732;17320
28/04/2010;1,751;17510
27/04/2010;1,765;17650
26/04/2010;1,745;17450
23/04/2010;1,761;17610
22/04/2010;1,763;17630
20/04/2010;1,753;17530
19/04/2010;1,755;17550
16/04/2010;1,76;17600
15/04/2010;1,753;17530
14/04/2010;1,747;17470
13/04/2010;1,757;17570
12/04/2010;1,757;17570
09/04/2010;1,774;17740
08/04/2010;1,778;17780
07/04/2010;1,776;17760
06/04/2010;1,754;17540
05/04/2010;1,762;17620
01/04/2010;1,769;17690
31/03/2010;1,781;17810
30/03/2010;1,795;17950
29/03/2010;1,798;17980
26/03/2010;1,826;18260
25/03/2010;1,809;18090
24/03/2010;1,8;18000
23/03/2010;1,777;17770
22/03/2010;1,8;18000
19/03/2010;1,801;18010
18/03/2010;1,786;17860
17/03/2010;1,765;17650
16/03/2010;1,764;17640
15/03/2010;1,763;17630
12/03/2010;1,762;17620
11/03/2010;1,77;17700
10/03/2010;1,771;17710
09/03/2010;1,78;17800
08/03/2010;1,788;17880
05/03/2010;1,786;17860
04/03/2010;1,792;17920
03/03/2010;1,79;17900
02/03/2010;1,782;17820
01/03/2010;1,798;17980
26/02/2010;1,806;18060
25/02/2010;1,831;18310
24/02/2010;1,826;18260
23/02/2010;1,826;18260
22/02/2010;1,809;18090
19/02/2010;1,805;18050
18/02/2010;1,822;18220
17/02/2010;1,826;18260
12/02/2010;1,863;18630
11/02/2010;1,849;18490
10/02/2010;1,849;18490
09/02/2010;1,847;18470
08/02/2010;1,852;18520
05/02/2010;1,89;18900
04/02/2010;1,883;18830
03/02/2010;1,843;18430
02/02/2010;1,83;18300
01/02/2010;1,859;18590
29/01/2010;1,885;18850
28/01/2010;1,867;18670
27/01/2010;1,859;18590
26/01/2010;1,836;18360
25/01/2010;1,821;18210
22/01/2010;1,815;18150
21/01/2010;1,8;18000
20/01/2010;1,792;17920
19/01/2010;1,772;17720
18/01/2010;1,767;17670
15/01/2010;1,772;17720
14/01/2010;1,765;17650
13/01/2010;1,76;17600
12/01/2010;1,748;17480
11/01/2010;1,736;17360
08/01/2010;1,73;17300
07/01/2010;1,745;17450
06/01/2010;1,739;17390
05/01/2010;1,731;17310
04/01/2010;1,72;17200
30/12/2009;1,743;17430
29/12/2009;1,743;17430
28/12/2009;1,741;17410
23/12/2009;1,757;17570
22/12/2009;1,782;17820
21/12/2009;1,784;17840
18/12/2009;1,783;17830
17/12/2009;1,79;17900
16/12/2009;1,75;17500
15/12/2009;1,753;17530
14/12/2009;1,742;17420
11/12/2009;1,755;17550
10/12/2009;1,766;17660
09/12/2009;1,771;17710
08/12/2009;1,758;17580
07/12/2009;1,722;17220
04/12/2009;1,725;17250
03/12/2009;1,709;17090
02/12/2009;1,722;17220
01/12/2009;1,722;17220
30/11/2009;1,754;17540
27/11/2009;1,743;17430
26/11/2009;1,75;17500
25/11/2009;1,726;17260
24/11/2009;1,735;17350
23/11/2009;1,728;17280
20/11/2009;1,734;17340
19/11/2009;1,734;17340
18/11/2009;1,717;17170
17/11/2009;1,717;17170
16/11/2009;1,71;17100
13/11/2009;1,722;17220
12/11/2009;1,738;17380
11/11/2009;1,722;17220
10/11/2009;1,717;17170
09/11/2009;1,701;17010
06/11/2009;1,719;17190
05/11/2009;1,722;17220
04/11/2009;1,728;17280
03/11/2009;1,745;17450
30/10/2009;1,756;17560
29/10/2009;1,731;17310
28/10/2009;1,755;17550
27/10/2009;1,739;17390
26/10/2009;1,74;17400
23/10/2009;1,713;17130
22/10/2009;1,725;17250
21/10/2009;1,725;17250
20/10/2009;1,744;17440
19/10/2009;1,711;17110
16/10/2009;1,71;17100
15/10/2009;1,699;16990
14/10/2009;1,703;17030
13/10/2009;1,727;17270
09/10/2009;1,737;17370
08/10/2009;1,739;17390
07/10/2009;1,756;17560
06/10/2009;1,752;17520
05/10/2009;1,761;17610
02/10/2009;1,778;17780
01/10/2009;1,788;17880
30/09/2009;1,772;17720
29/09/2009;1,793;17930
28/09/2009;1,792;17920
25/09/2009;1,798;17980
24/09/2009;1,804;18040
23/09/2009;1,787;17870
22/09/2009;1,798;17980
21/09/2009;1,816;18160
18/09/2009;1,809;18090
17/09/2009;1,807;18070
16/09/2009;1,8;18000
15/09/2009;1,806;18060
14/09/2009;1,813;18130
11/09/2009;1,827;18270
10/09/2009;1,821;18210
09/09/2009;1,836;18360
08/09/2009;1,827;18270
04/09/2009;1,84;18400
03/09/2009;1,866;18660
02/09/2009;1,885;18850
01/09/2009;1,905;19050
31/08/2009;1,889;18890
28/08/2009;1,882;18820
27/08/2009;1,865;18650
26/08/2009;1,861;18610
25/08/2009;1,857;18570
24/08/2009;1,845;18450
21/08/2009;1,831;18310
20/08/2009;1,843;18430
19/08/2009;1,845;18450
18/08/2009;1,845;18450
17/08/2009;1,868;18680
14/08/2009;1,853;18530
13/08/2009;1,832;18320
12/08/2009;1,834;18340
11/08/2009;1,843;18430
10/08/2009;1,849;18490
07/08/2009;1,824;18240
06/08/2009;1,837;18370
05/08/2009;1,811;18110
04/08/2009;1,823;18230
03/08/2009;1,835;18350
31/07/2009;1,865;18650
30/07/2009;1,874;18740
29/07/2009;1,904;19040
28/07/2009;1,882;18820
27/07/2009;1,875;18750
24/07/2009;1,897;18970
23/07/2009;1,889;18890
22/07/2009;1,904;19040
21/07/2009;1,907;19070
20/07/2009;1,903;19030
17/07/2009;1,928;19280
16/07/2009;1,93;19300
15/07/2009;1,935;19350
14/07/2009;1,969;19690
13/07/2009;1,98;19800
10/07/2009;2;20000
09/07/2009;1,992;19920
08/07/2009;2,01;20100
07/07/2009;1,993;19930
06/07/2009;1,96;19600
03/07/2009;1,952;19520
02/07/2009;1,952;19520
01/07/2009;1,929;19290
30/06/2009;1,964;19640
29/06/2009;1,964;19640
26/06/2009;1,939;19390
25/06/2009;1,946;19460
24/06/2009;1,985;19850
23/06/2009;1,982;19820
22/06/2009;2,024;20240
19/06/2009;1,973;19730
18/06/2009;1,975;19750
17/06/2009;1,962;19620
16/06/2009;1,967;19670
15/06/2009;1,953;19530
12/06/2009;1,925;19250
10/06/2009;1,951;19510
09/06/2009;1,936;19360
08/06/2009;1,966;19660
05/06/2009;1,957;19570
04/06/2009;1,942;19420
03/06/2009;1,963;19630
02/06/2009;1,924;19240
01/06/2009;1,953;19530
29/05/2009;1,97;19700
28/05/2009;2,009;20090
27/05/2009;2,015;20150
26/05/2009;2,018;20180
25/05/2009;2,025;20250
22/05/2009;2,027;20270
21/05/2009;2,035;20350
20/05/2009;2,028;20280
19/05/2009;2,035;20350
18/05/2009;2,076;20760
15/05/2009;2,11;21100
14/05/2009;2,082;20820
13/05/2009;2,106;21060
12/05/2009;2,07;20700
11/05/2009;2,059;20590
08/05/2009;2,068;20680
07/05/2009;2,11;21100
06/05/2009;2,112;21120
05/05/2009;2,148;21480
04/05/2009;2,126;21260
30/04/2009;2,188;21880
29/04/2009;2,175;21750
28/04/2009;2,197;21970
27/04/2009;2,22;22200
24/04/2009;2,191;21910
23/04/2009;2,219;22190
22/04/2009;2,202;22020
20/04/2009;2,244;22440
17/04/2009;2,191;21910
16/04/2009;2,176;21760
15/04/2009;2,197;21970
14/04/2009;2,195;21950
13/04/2009;2,17;21700
09/04/2009;2,172;21720
08/04/2009;2,204;22040
07/04/2009;2,218;22180
06/04/2009;2,218;22180
03/04/2009;2,206;22060
02/04/2009;2,235;22350
01/04/2009;2,281;22810
31/03/2009;2,318;23180
30/03/2009;2,331;23310
27/03/2009;2,292;22920
26/03/2009;2,24;22400
25/03/2009;2,248;22480
24/03/2009;2,242;22420
23/03/2009;2,245;22450
20/03/2009;2,264;22640
19/03/2009;2,248;22480
18/03/2009;2,25;22500
17/03/2009;2,285;22850
16/03/2009;2,277;22770
13/03/2009;2,298;22980
12/03/2009;2,303;23030
11/03/2009;2,35;23500
10/03/2009;2,349;23490
09/03/2009;2,375;23750
06/03/2009;2,375;23750
05/03/2009;2,38;23800
04/03/2009;2,372;23720
03/03/2009;2,412;24120
02/03/2009;2,443;24430
27/02/2009;2,371;23710
26/02/2009;2,344;23440
25/02/2009;2,375;23750
20/02/2009;2,389;23890
19/02/2009;2,351;23510
18/02/2009;2,349;23490
17/02/2009;2,326;23260
16/02/2009;2,28;22800
13/02/2009;2,264;22640
12/02/2009;2,288;22880
11/02/2009;2,29;22900
10/02/2009;2,284;22840
09/02/2009;2,237;22370
06/02/2009;2,248;22480
05/02/2009;2,288;22880
04/02/2009;2,309;23090
03/02/2009;2,32;23200
02/02/2009;2,325;23250
30/01/2009;2,315;23150
29/01/2009;2,295;22950
28/01/2009;2,275;22750
27/01/2009;2,329;23290
26/01/2009;2,31;23100
23/01/2009;2,34;23400
22/01/2009;2,33;23300
21/01/2009;2,352;23520
20/01/2009;2,371;23710
19/01/2009;2,332;23320
16/01/2009;2,336;23360
15/01/2009;2,382;23820
14/01/2009;2,345;23450
13/01/2009;2,328;23280
12/01/2009;2,294;22940
09/01/2009;2,271;22710
08/01/2009;2,298;22980
07/01/2009;2,252;22520
06/01/2009;2,18;21800
05/01/2009;2,255;22550
02/01/2009;2,334;23340
30/12/2008;2,336;23360
29/12/2008;2,415;24150
26/12/2008;2,37;23700
23/12/2008;2,387;23870
22/12/2008;2,39;23900
19/12/2008;2,365;23650
18/12/2008;2,359;23590
17/12/2008;2,348;23480
16/12/2008;2,37;23700
15/12/2008;2,379;23790
12/12/2008;2,365;23650
11/12/2008;2,345;23450
10/12/2008;2,429;24290
09/12/2008;2,472;24720
08/12/2008;2,5;25000
05/12/2008;2,485;24850
04/12/2008;2,531;25310
03/12/2008;2,474;24740
02/12/2008;2,391;23910
01/12/2008;2,319;23190
28/11/2008;2,312;23120
27/11/2008;2,281;22810
26/11/2008;2,267;22670
25/11/2008;2,325;23250
24/11/2008;2,328;23280
21/11/2008;2,464;24640
20/11/2008;2,4;24000
19/11/2008;2,385;23850
18/11/2008;2,325;23250
17/11/2008;2,277;22770
14/11/2008;2,27;22700
13/11/2008;2,38;23800
12/11/2008;2,293;22930
11/11/2008;2,222;22220
10/11/2008;2,192;21920
07/11/2008;2,16;21600
06/11/2008;2,201;22010
05/11/2008;2,118;21180
04/11/2008;2,111;21110
03/11/2008;2,169;21690
31/10/2008;2,156;21560
30/10/2008;2,103;21030
29/10/2008;2,14;21400
28/10/2008;2,186;21860
27/10/2008;2,244;22440
24/10/2008;2,327;23270
23/10/2008;2,31;23100
22/10/2008;2,38;23800
21/10/2008;2,236;22360
20/10/2008;2,117;21170
17/10/2008;2,115;21150
16/10/2008;2,165;21650
15/10/2008;2,165;21650
14/10/2008;2,102;21020
13/10/2008;2,14;21400
10/10/2008;2,314;23140
09/10/2008;2,188;21880
08/10/2008;2,28;22800
07/10/2008;2,312;23120
06/10/2008;2,2;22000
03/10/2008;2,044;20440
02/10/2008;2,021;20210
01/10/2008;1,918;19180
30/09/2008;1,904;19040
29/09/2008;1,967;19670
26/09/2008;1,853;18530
25/09/2008;1,821;18210
24/09/2008;1,85;18500
23/09/2008;1,83;18300
22/09/2008;1,793;17930
19/09/2008;1,83;18300
18/09/2008;1,93;19300
17/09/2008;1,868;18680
16/09/2008;1,82;18200
15/09/2008;1,814;18140
12/09/2008;1,781;17810
11/09/2008;1,815;18150
10/09/2008;1,785;17850
09/09/2008;1,772;17720
08/09/2008;1,736;17360
05/09/2008;1,717;17170
04/09/2008;1,719;17190
03/09/2008;1,678;16780
02/09/2008;1,663;16630
01/09/2008;1,647;16470
29/08/2008;1,633;16330
28/08/2008;1,632;16320
27/08/2008;1,622;16220
26/08/2008;1,631;16310
25/08/2008;1,633;16330
22/08/2008;1,628;16280
21/08/2008;1,61;16100
20/08/2008;1,619;16190
19/08/2008;1,627;16270
18/08/2008;1,639;16390
15/08/2008;1,638;16380
14/08/2008;1,627;16270
13/08/2008;1,615;16150
12/08/2008;1,624;16240
11/08/2008;1,616;16160
08/08/2008;1,608;16080
07/08/2008;1,591;15910
06/08/2008;1,577;15770
05/08/2008;1,575;15750
04/08/2008;1,563;15630
01/08/2008;1,562;15620
31/07/2008;1,562;15620
30/07/2008;1,562;15620
29/07/2008;1,572;15720
28/07/2008;1,575;15750
25/07/2008;1,573;15730
24/07/2008;1,579;15790
23/07/2008;1,584;15840
22/07/2008;1,58;15800
21/07/2008;1,579;15790
18/07/2008;1,589;15890
17/07/2008;1,599;15990
16/07/2008;1,597;15970
15/07/2008;1,588;15880
14/07/2008;1,594;15940
11/07/2008;1,601;16010
10/07/2008;1,61;16100
09/07/2008;1,608;16080
08/07/2008;1,614;16140
07/07/2008;1,601;16010
04/07/2008;1,608;16080
03/07/2008;1,611;16110
02/07/2008;1,603;16030
01/07/2008;1,605;16050
30/06/2008;1,597;15970
27/06/2008;1,596;15960
26/06/2008;1,603;16030
25/06/2008;1,591;15910
24/06/2008;1,602;16020
23/06/2008;1,613;16130
20/06/2008;1,606;16060
19/06/2008;1,604;16040
18/06/2008;1,607;16070
17/06/2008;1,608;16080
16/06/2008;1,625;16250
13/06/2008;1,636;16360
12/06/2008;1,635;16350
11/06/2008;1,642;16420
10/06/2008;1,647;16470
09/06/2008;1,626;16260
06/06/2008;1,634;16340
05/06/2008;1,627;16270
04/06/2008;1,629;16290
03/06/2008;1,629;16290
02/06/2008;1,632;16320
30/05/2008;1,628;16280
29/05/2008;1,637;16370
28/05/2008;1,655;16550
27/05/2008;1,671;16710
26/05/2008;1,659;16590
23/05/2008;1,661;16610
21/05/2008;1,658;16580
20/05/2008;1,65;16500
19/05/2008;1,649;16490
16/05/2008;1,641;16410
15/05/2008;1,655;16550
14/05/2008;1,664;16640
13/05/2008;1,657;16570
12/05/2008;1,665;16650
09/05/2008;1,686;16860
08/05/2008;1,693;16930
07/05/2008;1,69;16900
06/05/2008;1,66;16600
05/05/2008;1,657;16570
02/05/2008;1,65;16500
30/04/2008;1,663;16630
29/04/2008;1,706;17060
28/04/2008;1,688;16880
25/04/2008;1,667;16670
24/04/2008;1,67;16700
23/04/2008;1,658;16580
22/04/2008;1,661;16610
18/04/2008;1,669;16690
17/04/2008;1,658;16580
16/04/2008;1,664;16640
15/04/2008;1,683;16830
14/04/2008;1,687;16870
11/04/2008;1,69;16900
10/04/2008;1,685;16850
09/04/2008;1,689;16890
08/04/2008;1,694;16940
07/04/2008;1,704;17040
04/04/2008;1,709;17090
03/04/2008;1,717;17170
02/04/2008;1,727;17270
